id,name,acronym,red,green,blue,structure_order,parent_id,parent_acronym
1,Tuberomammillary_nucleus_ventral_part,TMv,255,78,86,75500,557,TM
2,Primary_somatosensory_area_mouth_layer_6b,SSp-m6b,137,205,161,6200,345,SSp-m
4,Inferior_colliculus,IC,255,152,255,79100,339,MBsen
6,internal_capsule,int,204,204,204,107000,784,cst
7,Principal_sensory_nucleus_of_the_trigeminal,PSV,255,170,95,85300,1132,P-sen
8,Basic_cell_groups_and_regions,grey,176,255,255,100,997,root
9,Primary_somatosensory_area_trunk_layer_6a,SSp-tr6a,115,203,207,7500,361,SSp-tr
10,Superior_colliculus_motor_related_intermediate_gray_layer,SCig,255,178,248,81100,294,SCm
12,Interfascicular_nucleus_raph,IF,255,158,251,84100,165,RAmb
14,internal_medullary_lamina_of_the_thalamus,im,204,204,204,108200,896,lfbst
15,Parataenial_nucleus,PT,255,133,134,68100,571,MTN
17,Superior_colliculus_motor_related_intermediate_white_layer,SCiw,255,178,248,81000,294,SCm
19,Induseum_griseum,IG,114,254,114,41100,1080,HIP
23,Anterior_amygdalar_area,AAA,186,208,248,50100,278,sAMY
26,Superior_colliculus_motor_related_deep_gray_layer,SCdg,255,178,248,80800,294,SCm
27,Intergeniculate_leaflet_of_the_lateral_geniculate_complex,IGL,255,135,134,69100,1014,GENv
30,Periventricular_hypothalamic_nucleus_anterior_part,PVa,255,76,78,71600,157,PVZ
33,Primary_visual_area_layer_6a,VISp6a,85,168,178,16700,385,VISp
35,Oculomotor_nucleus,III,255,168,255,82800,323,MBmot
36,Gustatory_areas_layer_1,GU1,51,181,90,9200,1057,GU
38,Paraventricular_hypothalamic_nucleus,PVH,255,76,77,70500,157,PVZ
41,posteromedial_visual_area_layer_2/3,VISpm2/3,0,175,191,17800,533,VISpm
42,Superior_colliculus_motor_related_deep_white_layer,SCdw,255,178,248,80900,294,SCm
50,Precommissural_nucleus,PRC,255,144,255,81600,795,PAG
56,Nucleus_accumbens,ACB,160,232,224,48400,493,STRv
59,Intermediodorsal_nucleus_of_the_thalamus,IMD,255,144,164,67200,444,MED
62,medial_longitudinal_fascicle,mlf,204,204,204,99100,832,IIIn
63,Paraventricular_hypothalamic_nucleus_descending_division,PVHd,255,78,90,76200,467,MEZ_
64,Anterodorsal_nucleus,AD,255,136,135,66700,239,ATN
66,Lateral_terminal_nucleus_of_the_accessory_optic_tract,LT,255,177,253,83300,323,MBmot
67,Interstitial_nucleus_of_Cajal,INC,255,145,255,81700,795,PAG
